1,AT ==> DE ==> BG,,,,,,,,,"If any country use the Germany as Transit Hub ""Additional Time"" and ""Additional KM""",,,,,,,,,,,,
,,,,,,,,,,NL ==> DE ==> BE,2,Krefeld,Regensburg,Köln,,0.80,60,,,,,
,,,,,,,,,,NL ==> DE ==> DK,3,Krefeld,Regensburg,Hamburg,,3.85,431,,,,,
,,,,,,,,,,NL ==> DE ==> ES,4,Krefeld,Regensburg,Speyer,,2.90,315,,,,,
,,,,,,,,,,NL ==> DE ==> FI,5,Krefeld,Regensburg,Hamburg,,3.85,431,,,,,
,,,,,,,,,,NL ==> DE ==> FR,6,Krefeld,Regensburg,Lahr,,4.07,457,,,,,
,,,,,,,,,,NL ==> DE ==> GB,7,Krefeld,Regensburg,Dorsten,,0.72,61,,,,,
,,,,,,,,,,NL ==> DE ==> GR,8,Krefeld,Regensburg,Feucht,,4.35,496,,,,,
,,,,,,,,,,NL ==> DE ==> HR,9,Krefeld,Regensburg,Feucht,,4.35,496,,,,,
,,,,,,,,,,NL ==> DE ==> HU,10,Krefeld,Regensburg,Feucht,,4.35,496,,,,,
,,,,,,,,,,NL ==> DE ==> IE,11,Krefeld,Regensburg,Köln,,0.80,60,,,,,
,,,,,,,,,,NL ==> DE ==> LU,12,Krefeld,Regensburg,Köln,,0.80,60,,,,,
,,,,,,,,,,NL ==> DE ==> NL,13,Krefeld,Regensburg,Dorsten,,0.72,61,,,,,
,,,,,,,,,,NL ==> DE ==> PT,14,Krefeld,Regensburg,Speyer,,2.90,315,,,,,
,,,,,,,,,,NL ==> DE ==> RO,15,Krefeld,Regensburg,Feucht,,4.35,496,,,,,
,,,,,,,,,,NL ==> DE ==> SE,16,Krefeld,Regensburg,Hamburg,,3.85,431,,,,,
,,,,,,,,,,NL ==> DE ==> SI,17,Krefeld,Regensburg,,,5.05,574,,,,,
,,,,,,,,,,NL ==> DE ==> SK,18,Krefeld,Regensburg,,,5.05,574,,,,,
,,,,,,,,,3,NL ==> DE ==> BG,1,Köln,Regensburg,Feucht,,3.87,429,,,,,
,,,,,,,,,,NL ==> DE ==> BE,2,Köln,,,,0.00,0,,,,,
,,,,,,,,,,NL ==> DE ==> DK,3,Köln,Regensburg,Hamburg,,4.00,425,,,,,
,,,,,,,,,,NL ==> DE ==> ES,4,Köln,Regensburg,Speyer,,2.53,263,,,,,
,,,,,,,,,,NL ==> DE ==> FI,5,Köln,Regensburg,Hamburg,,4.00,425,,,,,
,,,,,,,,,,NL ==> DE ==> FR,6,Köln,Regensburg,Lahr,,3.57,394,,,,,
,,,,,,,,,,NL ==> DE ==> GB,7,Köln,Regensburg,Dorsten,,1.12,97.8,,,,,
,,,,,,,,,,NL ==> DE ==> GR,8,Köln,Regensburg,Feucht,,3.87,429,,,,,
,,,,,,,,,,NL ==> DE ==> HR,9,Köln,Regensburg,Feucht,,3.87,429,,,,,
,,,,,,,,,,NL ==> DE ==> HU,10,Köln,Regensburg,Feucht,,3.87,429,,,,,
,,,,,,,,,,NL ==> DE ==> IE,11,Köln,,,,0.00,0,,,,,
,,,,,,,,,,NL ==> DE ==> LU,12,Köln,Regensburg,Köln,,0.00,0,,,,,
,,,,,,,,,,NL ==> DE ==> NL,13,Köln,Regensburg,Dorsten,,1.12,97.8,,,,,
,,,,,,,,,,NL ==> DE ==> PT,14,Köln,Regensburg,Speyer,,2.53,263,,,,,
,,,,,,,,,,NL ==> DE ==> RO,15,Köln,Regensburg,Feucht,,3.87,429,,,,,
,,,,,,,,,,NL ==> DE ==> SE,16,Köln,Regensburg,Hamburg,,4.00,425,,,,,
,,,,,,,,,,NL ==> DE ==> SI,17,Köln,Regensburg,,,4.43,506,,,,,
,,,,,,,,,,NL ==> DE ==> SK,18,Köln,Regensburg,,,4.43,506,,,,,
,,,,,,,,,4,NL ==> DE ==> BG,1,Neuwied,Regensburg,Feucht,,3.13,364,,,,,
,,,,,,,,,,NL ==> DE ==> BE,2,Neuwied,Regensburg,Köln,,1.03,87,,,,,
,,,,,,,,,,NL ==> DE ==> DK,3,Neuwied,Regensburg,Hamburg,,4.67,506,,,,,
,,,,,,,,,,NL ==> DE ==> ES,4,Neuwied,Regensburg,Speyer,,1.75,181,,,,,
,,,,,,,,,,NL ==> DE ==> FI,5,Neuwied,Regensburg,Hamburg,,4.67,506,,,,,
,,,,,,,,,,NL ==> DE ==> FR,6,Neuwied,Regensburg,Lahr,,2.93,331,,,,,
,,,,,,,,,,NL ==> DE ==> GB,7,Neuwied,Regensburg,Dorsten,,1.77,172,,,,,
,,,,,,,,,,NL ==> DE ==> GR,8,Neuwied,Regensburg,Feucht,,3.13,364,,,,,
,,,,,,,,,,NL ==> DE ==> HR,9,Neuwied,Regensburg,Feucht,,3.13,364,,,,,
,,,,,,,,,,NL ==> DE ==> HU,10,Neuwied,Regensburg,Feucht,,3.13,364,,,,,
,,,,,,,,,,NL ==> DE ==> IE,11,Neuwied,Regensburg,Köln,,1.03,87,,,,,
,,,,,,,,,,NL ==> DE ==> LU,12,Neuwied,Regensburg,Köln,,1.03,87,,,,,
,,,,,,,,,,NL ==> DE ==> NL,13,Neuwied,Regensburg,Dorsten,,1.77,172,,,,,
,,,,,,,,,,NL ==> DE ==> PT,14,Neuwied,Regensburg,Speyer,,1.75,181,,,,,
,,,,,,,,,,NL ==> DE ==> RO,15,Neuwied,Regensburg,Feucht,,3.13,364,,,,,
,,,,,,,,,,NL ==> DE ==> SE,16,Neuwied,Regensburg,Hamburg,,4.67,506,,,,,
,,,,,,,,,,NL ==> DE ==> SI,17,Neuwied,Regensburg,,,3.80,442,,,,,
,,,,,,,,,,NL ==> DE ==> SK,18,Neuwied,Regensburg,,,3.80,442,,,,,
,,,,,,,,,5,NL ==> DE ==> BG,1,Regensburg,Feucht,,,0.90,92,,,,,
,,,,,,,,,,NL ==> DE ==> BE,2,Regensburg,Köln,,,4.35,504,,,,,
,,,,,,,,,,NL ==> DE ==> DK,3,Regensburg,Hamburg,,,5.90,705,,,,,
,,,,,,,,,,NL ==> DE ==> ES,4,Regensburg,Speyer,,,2.90,325,,,,,
,,,,,,,,,,NL ==> DE ==> FI,5,Regensburg,Hamburg,,,5.90,705,,,,,
,,,,,,,,,,NL ==> DE ==> FR,6,Regensburg,Lahr,,,3.77,430,,,,,
,,,,,,,,,,NL ==> DE ==> GB,7,Regensburg,Dorsten,,,5.05,591,,,,,
,,,,,,,,,,NL ==> DE ==> GR,8,Regensburg,Feucht,,,0.90,92,,,,,
,,,,,,,,,,NL ==> DE ==> HR,9,Regensburg,Feucht,,,0.90,92,,,,,
,,,,,,,,,,NL ==> DE ==> HU,10,Regensburg,Feucht,,,0.90,92,,,,,
,,,,,,,,,,NL ==> DE ==> IE,11,Regensburg,Köln,,,4.35,504,,,,,
,,,,,,,,,,NL ==> DE ==> LU,12,Regensburg,Köln,,,4.35,504,,,,,
,,,,,,,,,,NL ==> DE ==> NL,13,Regensburg,Dorsten,,,5.05,591,,,,,
,,,,,,,,,,NL ==> DE ==> PT,14,Regensburg,Speyer,,,2.90,325,,,,,
,,,,,,,,,,NL ==> DE ==> RO,15,Regensburg,Feucht,,,0.90,92,,,,,
,,,,,,,,,,NL ==> DE ==> SE,16,Regensburg,Hamburg,,,5.90,705,,,,,
,,,,,,,,,,NL ==> DE ==> SI,17,Regensburg,,,,0.00,0,,,,,
,,,,,,,,,,NL ==> DE ==> SK,18,Regensburg,,,,0.00,0,,,,,
,,,,,,,,,6,NL ==> DE ==> BG,1,Dorsten,Regensburg,Feucht,,4.533333333,516,,,,,
,,,,,,,,,,NL ==> DE ==> BE,2,Dorsten,Regensburg,Köln,,1.15,98,,,,,
,,,,,,,,,,NL ==> DE ==> DK,3,Dorsten,Regensburg,Hamburg,,3.466666667,395,,,,,
,,,,,,,,,,NL ==> DE ==> ES,4,Dorsten,Regensburg,Speyer,,3.3,360,,,,,
,,,,,,,,,,NL ==> DE ==> FI,5,Dorsten,Regensburg,Hamburg,,3.466666667,395,,,,,
,,,,,,,,,,NL ==> DE ==> FR,6,Dorsten,Regensburg,Lahr,,4.283333333,479,,,,,
,,,,,,,,,,NL ==> DE ==> GB,7,Dorsten,,,,0,0,,,,,
,,,,,,,,,,NL ==> DE ==> GR,8,Dorsten,Regensburg,Feucht,,4.533333333,516,,,,,
,,,,,,,,,,NL ==> DE ==> HR,9,Dorsten,Regensburg,Feucht,,4.533333333,516,,,,,
,,,,,,,,,,NL ==> DE ==> HU,10,Dorsten,Regensburg,Feucht,,4.533333333,516,,,,,
,,,,,,,,,,NL ==> DE ==> IE,11,Dorsten,Regensburg,Köln,,1.15,98,,,,,
,,,,,,,,,,NL ==> DE ==> LU,12,Dorsten,Regensburg,Köln,,1.15,98,,,,,
,,,,,,,,,,NL ==> DE ==> NL,13,Dorsten,,,,0,0,,,,,
,,,,,,,,,,NL ==> DE ==> PT,14,Dorsten,Regensburg,Speyer,,3.3,360,,,,,
,,,,,,,,,,NL ==> DE ==> RO,15,Dorsten,Regensburg,Feucht,,4.533333333,516,,,,,
,,,,,,,,,,NL ==> DE ==> SE,16,Dorsten,Regensburg,Hamburg,,3.466666667,395,,,,,
,,,,,,,,,,NL ==> DE ==> SI,17,Dorsten,Regensburg,,,5.3,591,,,,,
,,,,,,,,,,NL ==> DE ==> SK,18,Dorsten,Regensburg,,,5.3,591,,,,,
,,,,,,,,,,PL ==> DE ==> BG,1,Rüdersdorf,Regensburg,Feucht,,4.066666667,475,,,,,
,,,,,,,,,,PL ==> DE ==> BE,2,Rüdersdorf,Regensburg,Köln,,5.5,610,,,,,
,,,,,,,,,,PL ==> DE ==> DK,3,Rüdersdorf,Regensburg,Hamburg,,2.966666667,309,,,,,
,,,,,,,,,,PL ==> DE ==> ES,4,Rüdersdorf,Regensburg,Speyer,,5.866666667,687,,,,,
,,,,,,,,,,PL ==> DE ==> FI,5,Rüdersdorf,Regensburg,Hamburg,,2.966666667,309,,,,,
,,,,,,,,,,PL ==> DE ==> FR,6,Rüdersdorf,Regensburg,Lahr,,6.883333333,807,,,,,
,,,,,,,,,,PL ==> DE ==> GB,7,Rüdersdorf,Regensburg,Dorsten,,4.9,572,,,,,
,,,,,,,,,,PL ==> DE ==> GR,8,Rüdersdorf,Regensburg,Feucht,,4.066666667,475,,,,,
,,,,,,,,,,PL ==> DE ==> HR,9,Rüdersdorf,Regensburg,Feucht,,4.066666667,475,,,,,
,,,,,,,,,,PL ==> DE ==> HU,10,Rüdersdorf,Regensburg,Feucht,,4.066666667,475,,,,,
,,,,,,,,,,PL ==> DE ==> IE,11,Rüdersdorf,Regensburg,Köln,,5.5,610,,,,,
,,,,,,,,,,PL ==> DE ==> LU,12,Rüdersdorf,Regensburg,Köln,,5.5,610,,,,,
,,,,,,,,,,PL ==> DE ==> NL,13,Rüdersdorf,Regensburg,Dorsten,,4.9,572,,,,,
,,,,,,,,,,PL ==> DE ==> PT,14,Rüdersdorf,Regensburg,Speyer,,5.866666667,687,,,,,
,,,,,,,,,,PL ==> DE ==> RO,15,Rüdersdorf,Regensburg,Feucht,,4.066666667,475,,,,,
,,,,,,,,,,PL ==> DE ==> SE,16,Rüdersdorf,Regensburg,Hamburg,,2.966666667,309,,,,,
,,,,,,,,,,PL ==> DE ==> SI,17,Rüdersdorf,Regensburg,,,4.533333333,539,,,,,
,,,,,,,,,,PL ==> DE ==> SK,18,Rüdersdorf,Regensburg,,,4.533333333,539,,,,,
,,,,,,,,,,SE ==> DE ==> BG,1,Neumünster,Regensburg,Feucht,,6.183333333,710,,,,,
,,,,,,,,,,SE ==> DE ==> BE,2,Neumünster,Regensburg,Köln,,4.466666667,480,,,,,
,,,,,,,,,,SE ==> DE ==> DK,3,Neumünster,Regensburg,Hamburg,,0.933333333,68,,,,,
,,,,,,,,,,SE ==> DE ==> ES,4,Neumünster,Regensburg,Speyer,,6.066666667,663,,,,,
,,,,,,,,,,SE ==> DE ==> FI,5,Neumünster,Regensburg,Hamburg,,0.933333333,68,,,,,
,,,,,,,,,,SE ==> DE ==> FR,6,Neumünster,Regensburg,Lahr,,7.116666667,783,,,,,
,,,,,,,,,,SE ==> DE ==> GB,7,Neumünster,Regensburg,Dorsten,,3.566666667,396,,,,,
,,,,,,,,,,SE ==> DE ==> GR,8,Neumünster,Regensburg,Feucht,,6.183333333,710,,,,,
,,,,,,,,,,SE ==> DE ==> HR,9,Neumünster,Regensburg,Feucht,,6.183333333,710,,,,,
,,,,,,,,,,SE ==> DE ==> HU,10,Neumünster,Regensburg,Feucht,,6.183333333,710,,,,,
,,,,,,,,,,SE ==> DE ==> IE,11,Neumünster,Regensburg,Köln,,4.466666667,480,,,,,
,,,,,,,,,,SE ==> DE ==> LU,12,Neumünster,Regensburg,Köln,,4.466666667,480,,,,,
,,,,,,,,,,SE ==> DE ==> NL,13,Neumünster,Regensburg,Dorsten,,3.566666667,396,,,,,
,,,,,,,,,,SE ==> DE ==> PT,14,Neumünster,Regensburg,Speyer,,6.066666667,663,,,,,
,,,,,,,,,,SE ==> DE ==> RO,15,Neumünster,Regensburg,Feucht,,6.183333333,710,,,,,
,,,,,,,,,,SE ==> DE ==> SE,16,Neumünster,Regensburg,Hamburg,,0.933333333,68,,,,,
,,,,,,,,,,SE ==> DE ==> SI,17,Neumünster,Regensburg,,,6.683333333,769,,,,,
,,,,,,,,,,SE ==> DE ==> SK,18,Neumünster,Regensburg,,,6.683333333,769,,,,,
,,,,,,,,,,SI ==> DE ==> BG,1,Feucht,,,,0.00,0,,,,,
,,,,,,,,,,SI ==> DE ==> BE,2,Feucht,Regensburg,Köln,,3.87,429,,,,,
,,,,,,,,,,SI ==> DE ==> DK,3,Feucht,Regensburg,Hamburg,,5.45,643,,,,,
,,,,,,,,,,SI ==> DE ==> ES,4,Feucht,Regensburg,Speyer,,2.20,234,,,,,
,,,,,,,,,,SI ==> DE ==> FI,5,Feucht,Regensburg,Hamburg,,5.45,643,,,,,
,,,,,,,,,,SI ==> DE ==> FR,6,Feucht,Regensburg,Lahr,,3.08,350,,,,,
,,,,,,,,,,SI ==> DE ==> GB,7,Feucht,Regensburg,Dorsten,,4.60,514,,,,,
,,,,,,,,,,SI ==> DE ==> GR,8,Feucht,Regensburg,Feucht,,0.00,0,,,,,
,,,,,,,,,,SI ==> DE ==> HR,9,Feucht,,,,0.00,0,,,,,
,,,,,,,,,,SI ==> DE ==> HU,10,Feucht,,,,0.00,0,,,,,
,,,,,,,,,,SI ==> DE ==> IE,11,Feucht,Regensburg,Köln,,3.87,429,,,,,
,,,,,,,,,,SI ==> DE ==> LU,12,Feucht,Regensburg,Köln,,3.87,429,,,,,
,,,,,,,,,,SI ==> DE ==> NL,13,Feucht,Regensburg,Dorsten,,4.60,514,,,,,
,,,,,,,,,,SI ==> DE ==> PT,14,Feucht,Regensburg,Speyer,,2.20,234,,,,,
,,,,,,,,,,SI ==> DE ==> RO,15,Feucht,,,,0.00,0,,,,,
,,,,,,,,,,SI ==> DE ==> SI,16,Feucht,Regensburg,Hamburg,,5.45,643,,,,,
,,,,,,,,,,SI ==> DE ==> SI,17,Feucht,Regensburg,,,0.98,93.4,,,,,
,,,,,,,,,,SI ==> DE ==> SK,18,Feucht,Regensburg,,,0.98,93.4,,,,,
